iter	Passed	Remaining
0	11	7049
1	20	6255
2	30	6028
3	39	5835
4	47	5677
5	56	5613
6	65	5540
7	74	5502
8	83	5479
9	92	5450
10	101	5429
11	110	5405
12	118	5368
13	126	5310
14	135	5288
15	144	5262
16	153	5269
17	161	5232
18	170	5221
19	179	5202
20	187	5179
21	196	5170
22	205	5160
23	214	5142
24	222	5126
25	231	5107
26	239	5091
27	248	5086
28	257	5072
29	266	5063
30	275	5049
31	284	5042
32	292	5033
33	302	5032
34	310	5019
35	319	5005
36	328	4998
37	336	4981
38	345	4968
39	354	4961
40	363	4951
41	371	4942
42	380	4932
43	389	4919
44	398	4910
45	406	4897
46	415	4886
47	423	4872
48	432	4863
49	441	4851
50	449	4842
51	458	4831
52	466	4818
53	475	4807
54	484	4798
55	492	4786
56	501	4780
57	510	4775
58	519	4766
59	528	4755
60	537	4747
61	546	4738
62	554	4728
63	563	4719
64	572	4712
65	580	4700
66	589	4693
67	599	4692
68	608	4684
69	617	4674
70	625	4662
71	634	4653
72	643	4645
73	652	4638
74	661	4627
75	669	4618
76	678	4611
77	687	4603
78	696	4593
79	704	4581
80	713	4570
81	722	4563
82	731	4556
83	740	4545
84	748	4537
85	757	4527
86	766	4518
87	775	4509
88	784	4501
89	792	4491
90	801	4485
91	810	4476
92	819	4467
93	828	4458
94	836	4447
95	845	4439
96	854	4428
97	862	4418
98	871	4409
99	880	4402
100	889	4393
101	897	4384
102	906	4375
103	915	4367
104	924	4358
105	933	4348
106	942	4342
107	951	4333
108	960	4326
109	969	4317
110	978	4308
111	987	4300
112	1001	4316
113	1015	4330
114	1027	4332
115	1035	4322
116	1044	4312
117	1053	4303
118	1062	4293
119	1070	4283
120	1079	4274
121	1089	4268
122	1099	4265
123	1109	4259
124	1118	4252
125	1127	4242
126	1136	4232
127	1145	4223
128	1154	4213
129	1162	4204
130	1171	4194
131	1180	4187
132	1189	4177
133	1198	4169
134	1207	4158
135	1216	4149
136	1225	4141
137	1233	4131
138	1242	4120
139	1251	4111
140	1259	4101
141	1269	4093
142	1278	4084
143	1286	4074
144	1295	4065
145	1304	4056
146	1313	4047
147	1322	4038
148	1331	4029
149	1340	4020
150	1348	4009
151	1357	3999
152	1366	3991
153	1375	3982
154	1383	3973
